LocalTime;CPUTemp
08/04/2025 05:07;58
08/04/2025 05:07;57
08/04/2025 05:07;56
08/04/2025 05:07;55
08/04/2025 05:07;54
08/04/2025 05:07;53
08/04/2025 05:07;56
08/04/2025 05:07;57
08/04/2025 05:07;56
08/04/2025 05:07;55
08/04/2025 05:07;54
08/04/2025 05:08;54
08/04/2025 05:08;53
08/04/2025 05:08;52
08/04/2025 05:08;51
08/04/2025 05:08;51
08/04/2025 05:08;51
08/04/2025 05:08;54
08/04/2025 05:08;57
08/04/2025 05:08;57
08/04/2025 05:08;56
08/04/2025 05:08;54
08/04/2025 05:08;54
08/04/2025 05:09;53
08/04/2025 05:09;53
08/04/2025 05:09;52
08/04/2025 05:09;52
08/04/2025 05:09;53
08/04/2025 05:09;53
08/04/2025 05:09;52
08/04/2025 05:09;52
08/04/2025 05:09;51
08/04/2025 05:09;51
08/04/2025 05:09;50
08/04/2025 05:09;50
08/04/2025 05:10;50
08/04/2025 05:10;49
08/04/2025 05:10;50
08/04/2025 05:10;50
08/04/2025 05:10;50
08/04/2025 05:10;50
08/04/2025 05:10;50
08/04/2025 05:10;49
08/04/2025 05:10;48
08/04/2025 05:10;48
08/04/2025 05:10;48
08/04/2025 05:10;48
08/04/2025 05:11;50
08/04/2025 05:11;50
08/04/2025 05:11;51
08/04/2025 05:11;51
08/04/2025 05:11;51
08/04/2025 05:11;52
08/04/2025 05:11;52
08/04/2025 05:11;51
08/04/2025 05:11;51
08/04/2025 05:11;50
08/04/2025 05:11;50
08/04/2025 05:11;49
08/04/2025 05:12;50
08/04/2025 05:12;52
08/04/2025 05:12;56
08/04/2025 05:12;58
08/04/2025 05:12;58
08/04/2025 05:12;58
08/04/2025 05:12;56
08/04/2025 05:12;55
08/04/2025 05:12;54
08/04/2025 05:12;53
08/04/2025 05:12;52
08/04/2025 05:12;51
08/04/2025 05:13;51
08/04/2025 05:13;51
08/04/2025 05:13;51
08/04/2025 05:13;50
08/04/2025 05:13;50
08/04/2025 05:13;49
08/04/2025 05:13;49
08/04/2025 05:13;48
08/04/2025 05:13;48
08/04/2025 05:13;51
08/04/2025 05:13;51
08/04/2025 05:13;51
08/04/2025 05:14;53
08/04/2025 05:14;53
08/04/2025 05:14;54
08/04/2025 05:14;55
08/04/2025 05:14;54
08/04/2025 05:14;56
08/04/2025 05:14;56
08/04/2025 05:14;55
08/04/2025 05:14;57
08/04/2025 05:14;57
08/04/2025 05:14;57
08/04/2025 05:14;58
08/04/2025 05:15;58
08/04/2025 05:15;60
08/04/2025 05:15;61
08/04/2025 05:15;61
08/04/2025 05:15;60
08/04/2025 05:15;61
08/04/2025 05:15;62
08/04/2025 05:15;63
08/04/2025 05:15;63
08/04/2025 05:15;65
08/04/2025 05:15;71
08/04/2025 05:15;76
08/04/2025 05:16;79
08/04/2025 05:16;82
08/04/2025 05:16;84
08/04/2025 05:16;85
08/04/2025 05:16;85
08/04/2025 05:16;82
08/04/2025 05:16;75
08/04/2025 05:16;69
08/04/2025 05:16;65
08/04/2025 05:16;63
08/04/2025 05:16;62
08/04/2025 05:16;60
08/04/2025 05:17;59
08/04/2025 05:17;58
08/04/2025 05:17;58
08/04/2025 05:17;57
08/04/2025 05:17;56
08/04/2025 05:17;55
08/04/2025 05:17;54
08/04/2025 05:17;54
08/04/2025 05:17;53
08/04/2025 05:17;52
08/04/2025 05:17;51
08/04/2025 05:17;51
08/04/2025 05:18;51
08/04/2025 05:18;52
08/04/2025 05:18;52
08/04/2025 05:18;51
08/04/2025 05:18;50
08/04/2025 05:18;49
08/04/2025 05:18;49
08/04/2025 05:18;48
08/04/2025 05:18;47
08/04/2025 05:18;47
08/04/2025 05:18;47
08/04/2025 05:18;46
08/04/2025 05:19;46
08/04/2025 05:19;45
08/04/2025 05:19;45
08/04/2025 05:19;45
08/04/2025 05:19;44
08/04/2025 05:19;44
08/04/2025 05:19;44
08/04/2025 05:19;44
08/04/2025 05:19;44
08/04/2025 05:19;44
08/04/2025 05:19;44
08/04/2025 05:19;44
08/04/2025 05:20;44
08/04/2025 05:20;44
